"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"beta_c_hat[3]",0.280537252878425,0.277331395,0.095232633938449,0.091075569438,0.128071938,0.441926137,1.00399520469405,2635.67087764667,2477.00886226994
"omega_a[1]",0.9920858812275,0.98784096,0.0711263720241931,0.071843808561,0.8829345935,1.11377009,1.01223047399117,698.474761682164,1335.23245244349
"omega_a[2]",0.915700610125,0.91357104,0.0691530720799342,0.068786123973,0.8074629355,1.031655845,1.01290914446852,708.572457191091,1679.65809302654
"omega_a[3]",0.345018226315,0.34413164,0.0250178714526766,0.024490461534,0.3057171185,0.3876014445,1.00776252287897,722.832086764489,1391.45334017275
"omega_c[1]",0.426174629735,0.414547645,0.0881896320327364,0.081265227477,0.3069573515,0.587176214,1.0033017329186,2537.58008861879,2549.82662481907
"omega_c[2]",0.300703928135,0.29267433,0.0609646386736397,0.057311934162,0.2170468335,0.4135685895,1.00222473770369,2378.97980878057,2819.91052477597
"omega_c[3]",0.10105087003525,0.098430009,0.0206767545495311,0.0192367453782,0.0720438818,0.1384992915,1.00136480450788,2691.60922106495,3033.26733059006
"omega_c[4]",1.264422655325,1.2441075,0.272134325631315,0.27385645749,0.8529404655,1.735210405,1.00056315690809,3516.12942338556,3076.6588654538
"omega_c[5]",0.011942497371825,0.0094545886,0.0081973515778114,0.00596616490806,0.003712350085,0.02844349165,1.004135795252,1954.46738852691,3038.6157103895
"omega_c[6]",0.2106394137275,0.20699043,0.0387261669434562,0.03742178769,0.152510078,0.2800715235,1.00113837225721,3164.19212996755,2746.88145450721
"omega_c[7]",0.465998469495,0.465445025,0.0694260975195242,0.068705085057,0.35336759,0.5815247645,1.00203212499822,3650.08524218654,2300.17333425392
"omega_c[8]",0.16239544502175,0.158412385,0.0325747068472898,0.031872126783,0.1160265635,0.221183396,1.00082981129458,3865.33140546684,3237.94469543343
"m_logomega_d[1]",-1.7850142501725,-1.7892441,0.199338201418503,0.18959748255,-2.103949735,-1.44481446,1.00627773585551,1391.21712673146,1649.50847135771
"m_logomega_d[2]",-2.006281283625,-2.0102568,0.183556576151151,0.17817012066,-2.29696453,-1.698432845,1.00265312424205,2226.5208316588,2273.17749499139
"m_logomega_d[3]",-2.7095769630925,-2.725199,0.399761809738187,0.38442001815,-3.33609623,-2.031726505,1.00465658169004,2062.49260561385,2702.64956091186
"sd_logomega_d[1]",0.7126428989575,0.692160515,0.143203878280527,0.132005804007,0.5217679985,0.972757134,1.00109846340276,1989.75580568096,2721.43377427219
"sd_logomega_d[2]",0.63528297169,0.613617875,0.131493568995604,0.118504803627,0.4573087485,0.8761681515,0.999973565435325,2931.89244796226,2665.02203421699
"sd_logomega_d[3]",1.43973800846,1.39816765,0.306043612890174,0.2823115029,1.023853395,1.992407295,1.00364604927745,1718.92412449201,2662.46251782165
"rho_a[1,1]",1,1,0,0,1,1,NA,NA,NA
"rho_a[2,1]",0.938189647125,0.93965958,0.0142758450042487,0.0133617916530001,0.91176506,0.9583798845,1.00844550237741,884.953286837671,1804.42939246879
"rho_a[3,1]",0.444635396515,0.449991195,0.0773190266123941,0.077662272261,0.3094717835,0.562784238,1.00767499323664,798.221498997343,1292.84452580874
"rho_a[1,2]",0.938189647125,0.93965958,0.0142758450042487,0.0133617916530001,0.91176506,0.9583798845,1.00844550237741,884.953286837671,1804.42939246879
"rho_a[2,2]",1,1,0,0,1,1,NA,NA,NA
"rho_a[3,2]",0.35133431199825,0.35541339,0.0843188686791285,0.08485549905,0.2049542775,0.4836019685,1.01157791123213,646.167101499921,1462.33490736268
"rho_a[1,3]",0.444635396515,0.449991195,0.0773190266123941,0.077662272261,0.3094717835,0.562784238,1.00767499323664,798.221498997343,1292.84452580874
