TableNo,Training Set,Source,MW,Ea,Sa,Aa,Ba,log Pb,MRb,Ob,Vb,Oblate Spheroid Minor Axisc,pKa (acid)d,pKa (base)d,ID,Names,ACD
72,fenoprofen,Sigma-Aldrich,242.27,1.47,1.69,0.57,0.84,3.639,68.181,1.4357,198.615,1.425,4.27,,62,fenoprofen,0
50,quinizarin,Sigma-Aldrich,240.21,2.06,2.11,0.82,0.89,1.64,64.539,1.3532,162.188,1.449,10,,63,quinizarin,0
,,,,,,,,,,,,,,5.62,64,Lin-cis-G,1
28,Lin-cis-He,BMS,396.88,2.44,2.13,0.38,0.85,5.415,108.504,1.5383,316.945,1.519,13.12,4.07,65,Lin-cis-H,0
68,Lin-cis-Je,BMS,436.97,2.62,2.53,0.38,1.18,6.035,124.073,1.6071,372.795,1.517,13.13,5.07,66,Lin-cis-J,0
45,phenanthrene,Aldrich,178.23,2.07,1.25,0,0.22,4.515,58.958,1.3287,141.951,1.424,,,67,Phenanthrene,0
16,aceclofenac,Sigma-Aldrich,354.18,2,2.48,0.47,0.98,3.646,86.315,1.4954,253.323,1.463,4.7,,68,aceclofenac,0
20,aripiprazole,Thermo Scientific,448.38,2.65,3.32,0.38,1.88,4.547,122.555,1.6434,363.772,1.463,13.29,7.6,69,aripiprazole,0
38,mefenamic acid,Sigma-Aldrich,241.29,1.74,1.91,0.69,0.57,5.37,71.385,1.4222,193.444,1.431,4.3,-1.68,70,mefenamic acid,0
52,reserpine,Sigma-Aldrich,608.68,3.09,4.83,0.46,2.99,2.693,160.919,,760,,12.08,6.53,71,reserpine,0
78,trans-chalcone,Alfa Aesar,208.26,1.65,1.41,0,0.6,3.08,66.877,1.4313,168.37,1.355,,,72,trans-chalcone,0
26,Lin-cis-A e,BMS,432.49,2.46,3.13,0,1.29,5.196,117.375,1.472,363.383,1.685,,4.07,73,Lin-cis-A,0
62,Lin-cis-B 1e,BMS,446.51,2.53,2.97,0,1.37,5.762,121.949,1.5046,378.158,1.659,,4.07,74,Lin-cis-B-1,0
23,Linrodostat 1e,BMS,410.91,2.44,1.97,0.38,0.92,5.981,113.078,1.5378,335.197,1.549,13.12,4.07,75,Lin-cis-C-1,0
23,Linrodostat 1e,BMS,410.91,2.44,1.97,0.38,0.92,5.981,113.078,1.5378,335.197,1.549,13.12,4.07,76,Lin-cis-C-2,0
29,Lin-trans-Ae,BMS,432.49,2.46,3.13,0,1.29,5.196,117.375,1.4768,366.595,1.683,,4.07,77,Lin-trans-A,0
66,Lin-trans-Ce,BMS,410.91,2.44,1.97,0.38,0.92,5.981,113.078,1.5375,335.984,1.55,13.12,4.07,78,Lin-trans-C,0
56,triphenylene,Acros Organics,228.29,2.94,1.33,0,0.27,5.226,75.409,1.3785,177.043,1.452,,,79,Triphenylene,0
32,cis-stilbene,Sigma-Aldrich,180.25,1.65,1.18,0,0.37,4.81,61.513,1.3682,154.881,1.404,,,80,cis-stilbene,0
,,,,,,,,,,,,,,,81,o-Terphenyl,1
49,pyrene,City Chemical,202.25,2.85,1.43,0,0.26,5.083,66.723,1.3365,155.048,1.454,,,82,pyrene,0
55,trans-stilbene,Sigma-Aldrich,180.25,1.65,1.18,0,0.37,4.81,61.513,1.3998,152.892,1.353,,,83,trans-stilbene,0
,,,,,,,,,,,,,,,84,"2,2'-dinaphthylether",1
67,Lin-trans-Be,BMS,446.51,2.53,2.97,0,1.37,5.762,121.949,1.4133,384.493,1.816,,4.07,85,Lin-trans-BMS-B,0
51,regorafenib,SYNkinase,482.82,2.26,2.93,0.98,1.82,3.916,110.625,1.6741,316.469,1.366,12.73,2.14,86,Regorafenib,0
,,,,,,,,,,,,,4.46,,87,Glecaprevir,1
