index,SessionName,Compound,phi,n,k,kCorrected,tM,kRef,kTol,Date,FlowRate,Temperature,Column_Manufacturer,Column_Brand,Column_Phase,Column_ParticleSize,Column_PoreSize,Column_Length,Column_InnerDiameter,Column_SerialNumber
3598,13_1_2,acetophenone,10,3,15.9271,19.33054353,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3599,13_1_2,acetophenone,10,4,16.0445,19.4730306,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3600,13_1_2,acetophenone,10,5,15.9498,19.35809426,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3601,13_1_2,benzonitrile,60,1,0.778502,0.944859189,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3602,13_1_2,benzonitrile,60,2,0.799284,0.970082071,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3603,13_1_2,benzonitrile,60,3,0.779279,0.945802226,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3604,13_1_2,benzonitrile,60,4,0.777919,0.944151609,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3605,13_1_2,benzonitrile,60,5,0.779532,0.946109289,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3606,13_1_2,benzonitrile,50,1,1.29912,1.576727446,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3607,13_1_2,benzonitrile,50,2,1.27335,1.545450685,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3608,13_1_2,benzonitrile,50,3,1.29554,1.57238244,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3609,13_1_2,benzonitrile,50,4,1.27393,1.546154624,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3610,13_1_2,benzonitrile,50,5,1.29695,1.574093741,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3611,13_1_2,benzonitrile,40,1,2.22688,2.702739405,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3612,13_1_2,benzonitrile,40,2,2.20299,2.673744378,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3613,13_1_2,benzonitrile,40,3,2.21245,2.685225875,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3614,13_1_2,benzonitrile,40,4,2.22174,2.696501044,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3615,13_1_2,benzonitrile,40,5,2.20591,2.67728835,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3616,13_1_2,benzonitrile,35,1,2.98274,3.620118251,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3617,13_1_2,benzonitrile,35,2,2.95623,3.58794336,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
3618,13_1_2,benzonitrile,35,3,2.96537,3.599036476,0.020336,3.734763299,3.0772,05.02.2021,1,40,Agilent,Zorbax,Bonus RP,1.8,80,5,2.1,USHZR01088-1
