"","n_exp","c","fi","evsi","type"
"177",177,8,0.4,0.0110640708356448,"sample"
"178",178,9,0.45,0.072100512186544,"sample"
"179",179,10,0.5,0.100231569406645,"sample"
"180",180,11,0.55,0.100820772411744,"sample"
"181",181,12,0.6,0.106466929014329,"sample"
"182",182,13,0.65,0.100106259797877,"sample"
"183",183,1,0.7,0.0651629870511449,"sample"
"184",184,2,0.75,0.145014053002748,"sample"
"185",185,3,0.8,0.110914269264064,"sample"
"186",186,4,0.85,0.111820545688658,"sample"
"187",187,5,0.9,0.127131802227198,"sample"
"188",188,6,0.95,0.0936452648060402,"sample"
"189",189,7,1,0.135222344771674,"sample"
"190",190,8,0,0.0272881246512186,"sample"
"191",191,9,0.05,0.0396236548373869,"sample"
"192",192,10,0.1,0.025364950869697,"sample"
"193",193,11,0.15,0.035382282960932,"sample"
"194",194,12,0.2,0.0499833441416682,"sample"
"195",195,13,0.25,0.0665283727567477,"sample"
"196",196,1,0.3,0.0682553616226048,"sample"
"197",197,2,0.35,0.0867825070846383,"sample"
"198",198,3,0.4,0.0123039140127349,"sample"
"199",199,4,0.45,0.0851955446918343,"sample"
"200",200,5,0.5,0.130494077269967,"sample"
"201",201,6,0.55,0.103055030923681,"sample"
"202",202,7,0.6,0.14769824774809,"sample"
"203",203,8,0.65,0.106465144939349,"sample"
"204",204,9,0.7,0.106255857183993,"sample"
"205",205,10,0.75,0.0992722152272514,"sample"
"206",206,11,0.8,0.0981461828117864,"sample"
"207",207,12,0.85,0.102244950803258,"sample"
"208",208,13,0.9,0.0918936066873721,"sample"
"209",209,1,0.95,0.0578626418489179,"sample"
"210",210,2,1,0.121324374017468,"sample"
"211",211,3,0,0.0290865715543033,"sample"
"212",212,4,0.05,0.0383521618512867,"sample"
"213",213,5,0.1,0.0305864809434464,"sample"
"214",214,6,0.15,0.0313437374965435,"sample"
"215",215,7,0.2,0.083035185194195,"sample"
"216",216,8,0.25,0.0555674999076653,"sample"
"217",217,9,0.3,0.0567211102745457,"sample"
"218",218,10,0.35,0.0652394003685,"sample"
"219",219,11,0.4,0.011885408633401,"sample"
"220",220,12,0.45,0.0683076820192243,"sample"
"221",221,13,0.5,0.0893902077208122,"sample"
"222",222,1,0.55,0.0683271678698585,"sample"
"223",223,2,0.6,0.154626621754262,"sample"
"224",224,3,0.65,0.107783176977562,"sample"
"225",225,4,0.7,0.114993759423297,"sample"
"226",226,5,0.75,0.13672147063209,"sample"
"227",227,6,0.8,0.0956887136163015,"sample"
"228",228,7,0.85,0.140056071275787,"sample"
"229",229,8,0.9,0.0966094944807518,"sample"
"230",230,9,0.95,0.0981816169424014,"sample"
"231",231,10,1,0.0988268498686348,"sample"
"232",232,11,0,0.0304560364041515,"sample"
"233",233,12,0.05,0.0377179333964007,"sample"
"234",234,13,0.1,0.0236372828181358,"sample"
"235",235,1,0.15,0.0420323399610183,"sample"
"236",236,2,0.2,0.103341072979794,"sample"
"237",237,3,0.25,0.0613118796840708,"sample"
"238",238,4,0.3,0.0705666265872617,"sample"
"239",239,5,0.35,0.0609817532007127,"sample"
"240",240,6,0.4,0.0123378889041518,"sample"
"241",241,7,0.45,0.105398971160558,"sample"
"242",242,8,0.5,0.103616776748008,"sample"
"243",243,9,0.55,0.108659207009615,"sample"
"244",244,10,0.6,0.0982163139387748,"sample"
"245",245,11,0.65,0.101901828861432,"sample"
"246",246,12,0.7,0.107385076267484,"sample"
"247",247,13,0.75,0.0980362635521684,"sample"
"248",248,1,0.8,0.0636871716966823,"sample"
"249",249,2,0.85,0.132931983316312,"sample"
"250",250,3,0.9,0.10382092837614,"sample"
"251",251,4,0.95,0.106680186200532,"sample"
"252",252,5,1,0.130788557511163,"sample"
"253",253,6,0,0.0302782567003434,"sample"
"254",254,7,0.05,0.0387476370314428,"sample"
"255",255,8,0.1,0.0292031993934975,"sample"
"256",256,9,0.15,0.0320007015908354,"sample"
"257",257,10,0.2,0.0566092391848664,"sample"
"258",258,11,0.25,0.0625194609620053,"sample"
"259",259,12,0.3,0.0680217672698066,"sample"
"260",260,13,0.35,0.0530465931401359,"sample"
"261",261,1,0.4,0.0129648731320642,"sample"
"262",262,2,0.45,0.119204449965577,"sample"
"263",263,3,0.5,0.102991912995927,"sample"
"264",264,4,0.55,0.113895420870644,"sample"
"265",265,5,0.6,0.12478473334015,"sample"
"266",266,6,0.65,0.106555690113154,"sample"
"267",267,7,0.7,0.143038365504875,"sample"
"268",268,8,0.75,0.102107493995734,"sample"
"269",269,9,0.8,0.102056675947294,"sample"
"270",270,10,0.85,0.098807700620334,"sample"
"271",271,11,0.9,0.0946575678655252,"sample"
"272",272,12,0.95,0.102731562124159,"sample"
"273",273,13,1,0.094522821803378,"sample"
